0;s28652,s12164,s74205,s1,s70222,s70614,s4154,s47219,s19022,s12285,s707,s1658,s29998,s15247,s11599,s70986,s2138,s73321,s28,s19136,s71086,s3;драндулет,транспорт,шаланда,авто,Волга,комплекс,сердце,тачка,пассажирский автомобиль,легковой автомобиль,транспортное средство,мотор,Итиль,станок,ускоритель,кровь,машина,орган,автомашина,двигатель,сердечко,колёса,автомобиль,- река-матушка,средство передвижения,легковушка,агрегат,комп,легковая машина
1;s29333,s27443,s10048,s7192,s4007,s19270,s1210,s28282,s2,s19809,s14933,s33268,s30155,s33226,s10302,s1090,s19810;механика,организм,инструмент,приспосабливание,адаптация,структура,кухня,коадаптация,скобка,аппарат,устройство,хитрость,подстраивание,приспособление,подоплёка,механизм,машина,вашгерд,приспособа,аккомодация,зажим,привыкание,завод,скоба,прилаживание,упрощение
2;s10288,s16255,s4,s33267,s29379,s10027;холуй,челядь,поденщик,наймит,половой,прислужник,слуга,официант,жрец,колон,служитель,батрак,человек,служка,лакей
3;s6470,s3385,s5,s28151,s8962,s906,s10290,s24638,s237;кисть,рука,гроздь,пятерня,лапа,соцветие,соус,пучок,карандаш,головка,ладонь,верхняя конечность,мастихин,букет,перо,ручка
4;s13762,s6,s27106,s1217,s73046,s6012,s33012,s17098,s32663;образ,подпись,шрифт,почерк,перо,дух,жанр,рука,способ,палитра,привычка,характер,род,изложение,школа,пошиб,гамма,речь,поведение,слог,кисть,роспись,манера,идиостиль,вкус,стиль
5;s25174,s26482,s71389,s10014,s27776,s24340,s5422,s27778,s27779,s27601,s24343,s24710,s8,s24344,s13921,s24341,s22081,s24342,s5227,s27602,s5700,s27777,s25240,s5919,s18872;экскременты,отбросы,удобрение,дерьмо,меконий,экскреция,стул,испражнения,дрянь,параша,какашка,фекал,срачка,табурет,экскремент,кал,кака,говно,дефекация,навоз,какание,венский стул,аа,херня,помет,отстой,фекалии,бяка,сранье,задница,гуано,испражнение
6;s28878,s73364,s4470,s29975,s10,s11,s1512,s8127,s1607,s12080;матка,шлюпка,шхуна,судно,фрахтовщик,корыто,парусник,бот,тендер,корабль,посудина,лодка,неф
7;s12286,s12,s71144,s1079,s70697,s20193;авион,пассажирский самолет,коммерческий самолет,лайнер,воздушный корабль,аэростат,самолёт,вертолет,борт,летательный аппарат,воздушное судно,автомобиль,аэробус,дирижабль,аэроплан,велосипед,самолет,авиалайнер
8;s13111,s86,s13,s2118,s256,s12812,s1554,s1466,s2457,s25774,s25770,s28090,s18424,s8869,s19836,s47203,s35004,s28087,s1465,s12338,s866,s21248,s988,s1467,s16516,s25772,s4528,s3904;браток,братишка,друг,мальчуган,малой,дружок,паренек,дружище,малый,брателло,мальчик,союзник,благоприятель,кореш,побратанец,сторонник,голубчик,контрамарка,товарищ,корешок,френд,брательник,парень,соратник,побратим,друган,дружбан,коллега,братан,юнец,кент,фолловер,юноша,кунак,наперсник,ара,брат,приятель,пацан,доброжелатель,единомышленник,чувак
9;s9151,s25000,s10272,s6333,s1847,s34469,s25006,s25004,s14388,s24997,s34468,s74046,s70636,s1736,s17,s69972,s17096,s18;старикашка,старикан,седой,старый песочник,в преклонном возрасте,дедушка,старичишка,пожилой,развалина,в летах,старичонко,старый хрыч,дед,старец,дедка,старая песочница,человек престарелого возраста,старая калоша,старослужащий,старушенция,в почтенных летах,старичок,старый хрен,ветеран,пожилой человек,дедок,старина,песочные часы,дембель,старый,старейшина,старик,пенсионер,дедуля,старье,старичье,хрыч,старинушка
